"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"288","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",21,20,21,"7",7,21,1.66666666666667,1.29099444873581,3,NA,NA,NA,NA,NA,NA
"163","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",10,3,9,"3",1,0,NA,NA,3,NA,NA,NA,NA,NA,NA
"241","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",37,13,21,"6",0,0,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"425","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",25,17,21,"7",1,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"387","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",12,11,41,"5",0,0,NA,NA,8.2,NA,NA,NA,NA,NA,NA
"575","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",6,5,22,"6",6,22,22.6666666666667,4.76095228569523,3.66666666666667,NA,NA,NA,NA,NA,NA
"600","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",9,9,30,"5",3,11,8.33333333333333,2.88675134594813,6,NA,NA,NA,NA,NA,NA
"73","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",11,10,29,"6",2,6,2,1.4142135623731,4.83333333333333,NA,NA,NA,NA,NA,NA
"548","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",21,10,58,"7",1,2,NA,NA,8.28571428571429,NA,NA,NA,NA,NA,NA
"23","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",15,7,16,"4",0,0,NA,NA,4,NA,NA,NA,NA,NA,NA
"465","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",14,14,30,"5",1,1,NA,NA,6,NA,NA,NA,NA,NA,NA
"485","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",33,20,42,"6",2,13,4.5,2.12132034355964,7,NA,NA,NA,NA,NA,NA
"668","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",31,26,88,"6",1,4,NA,NA,14.6666666666667,NA,NA,NA,NA,NA,NA
"405","Jevins","M2","ON.M2",2015-10-25,"1",NA,"possible that 10 fruit may be all aborted. Needs to be checked","M",10,10,0,"5",5,0,0,0,0,NA,NA,NA,NA,NA,NA
"411","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",2,0,0,"2",2,0,0,0,0,NA,NA,NA,NA,NA,NA
"351","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",8,2,3,"2",2,3,0.5,0.707106781186548,1.5,NA,NA,NA,NA,NA,NA
"162","Jevins","M2","ON.M2",2015-10-25,"1",NA,NA,"M",5,0,1,"3",3,1,0.333333333333333,0.577350269189626,0.333333333333333,NA,NA,NA,NA,NA,NA
