"Envelope_ID","PopName","Pop_ID","PopCode","PopCode2","Date_collected","stems","Clump_size","Flower_number","Fruit_number","Secondary_branches","Notes","Seed.number","Type","Flower_number2","Fruit2"
"117","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",20,15,0,"","","M",20,15
"12","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","15",50,50,18,"","","M",50,50
"141","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",2,2,0,"","","M",2,2
"42","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",11,4,0,"","","M",11,4
"657","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",12,3,0,"","","M",12,3
"683","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",120,110,12,"","","M",120,110
"623","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",4,3,0,"","","M",4,3
"555","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",15,6,0,"","","M",15,6
"517","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",10,8,0,"","","M",10,8
"153","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",105,105,5,"big secondary branches","","M",105,105
"540","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",12,3,0,"","","M",12,3
"183","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",23,15,0,"","","M",23,15
"213","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",3,3,0,"","","M",3,3
"310","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",90,85,3,"","","M",90,85
"223","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",20,15,0,"","","M",20,15
"144","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",11,9,0,"","","M",11,9
"365","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",15,7,0,"","","M",15,7
"244","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",60,50,0,"","","M",60,50
"129","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",65,50,6,"ALL LATE ABORTED SEEDS","","M",65,50
"84","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",11,7,0,"","","M",11,7
"273","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",8,0,6,"","","M",8,0
"95","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",10,6,0,"","","M",10,6
"303","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","3",6,0,0,"Only 1 stem in this clump with flowers in this bunch","","M",6,0
"333","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",21,15,0,"","","M",21,15
"512","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",20,19,0,"","","M",20,19
"482","Round Lake","M5","ON.M5","ON.M5","24-10-15","1","",15,11,8,"","","M",15,11
"33","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",85,80,0,"parasites in population. Cuscuta americana","","P",85,80
"334","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",190,180,6,"LATE ABORTED SEEDS","","P",190,180
"510","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","6 to 8",12,12,0,"","","P",12,12
"29","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",80,80,5,"","","P",80,80
"77","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",230,225,9,"","","P",230,225
"104","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",85,85,0,"","","P",85,85
"132","Loch Garry","T12","ON.T12","ON.T12","23-10-15","stema","",60,60,0,"2 stems. This is first","","P",95,95
"20","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","8",28,28,0,"","","P",28,28
"102","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",75,75,0,"","","P",75,75
"81","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","",30,30,5,"","","P",30,30
"209","Loch Garry","T12","ON.T12","ON.T12","23-10-15","1","7",12,11,0,"","","P",12,11
