"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
67,"M","Jock River I","M8","ON.M8","13-10-15","15",0,45,45,27,563,20.8518518518519,NA,NA
118,"M","Jock River I","M8","ON.M8","13-10-15","15",0,80,80,21,417,19.8571428571429,NA,NA
367,"M","Jock River I","M8","ON.M8","13-10-15",">20",7,100,100,4,33,8.25,46.9166666666667,6.84957419601151
48,"M","Jock River I","M8","ON.M8","13-10-15","20",0,25,25,4,88,22,NA,NA
629,"M","Jock River I","M8","ON.M8","13-10-15","20",0,80,77,5,78,15.6,0.5,0.707106781186548
603,"M","Jock River I","M8","ON.M8","13-10-15","35",0,20,20,5,63,12.6,NA,NA
423,"M","Jock River I","M8","ON.M8","13-10-15","40",0,100,100,5,108,21.6,10.3333333333333,3.21455025366432
450,"M","Jock River I","M8","ON.M8","13-10-15","25",0,90,90,4,83,20.75,2,1.4142135623731
380,"M","Jock River I","M8","ON.M8","13-10-15","30",0,100,99,6,97,16.1666666666667,6.33333333333333,2.51661147842358
642,"M","Jock River I","M8","ON.M8","13-10-15","",0,70,65,8,117,14.625,24.5,4.94974746830583
398,"M","Jevins","M2","ON.M2","25-10-15","",0,44,25,5,42,8.4,14.8,3.84707681233427
304,"M","Jevins","M2","ON.M2","25-10-15","",0,6,3,3,4,1.33333333333333,0.333333333333333,0.577350269189626
237,"M","Jevins","M2","ON.M2","25-10-15","",8,18,5,5,6,1.2,1.7,1.30384048104053
11,"M","Jevins","M2","ON.M2","25-10-15","",0,4,0,4,0,0,0,0
214,"M","Jevins","M2","ON.M2","25-10-15","",0,3,2,2,1,0.5,0.5,0.707106781186548
288,"M","Jevins","M2","ON.M2","25-10-15","",0,21,20,7,21,3,1.66666666666667,1.29099444873581
163,"M","Jevins","M2","ON.M2","25-10-15","",0,10,3,3,9,3,NA,NA
241,"M","Jevins","M2","ON.M2","25-10-15","",0,37,13,6,21,3.5,NA,NA
425,"M","Jevins","M2","ON.M2","25-10-15","",0,25,17,7,21,3,NA,NA
387,"M","Jevins","M2","ON.M2","25-10-15","",0,12,11,5,41,8.2,NA,NA
575,"M","Jevins","M2","ON.M2","25-10-15","",0,6,5,6,22,3.66666666666667,22.6666666666667,4.76095228569523
600,"M","Jevins","M2","ON.M2","25-10-15","",0,9,9,5,30,6,8.33333333333333,2.88675134594813
73,"M","Jevins","M2","ON.M2","25-10-15","",0,11,10,6,29,4.83333333333333,2,1.4142135623731
548,"M","Jevins","M2","ON.M2","25-10-15","",0,21,10,7,62,8.85714285714286,NA,NA
23,"M","Jevins","M2","ON.M2","25-10-15","",0,15,7,4,16,4,NA,NA
465,"M","Jevins","M2","ON.M2","25-10-15","",0,14,14,5,30,6,NA,NA
485,"M","Jevins","M2","ON.M2","25-10-15","",0,33,20,6,42,7,4.5,2.12132034355964
668,"M","Jevins","M2","ON.M2","25-10-15","",0,31,26,6,88,14.6666666666667,NA,NA
405,"M","Jevins","M2","ON.M2","25-10-15","",0,10,10,5,0,0,0,0
411,"M","Jevins","M2","ON.M2","25-10-15","",0,2,0,2,0,0,0,0
351,"M","Jevins","M2","ON.M2","25-10-15","",0,8,2,2,3,1.5,0.5,0.707106781186548
162,"M","Jevins","M2","ON.M2","25-10-15","",0,5,0,3,1,0.333333333333333,0.333333333333333,0.577350269189626
201,"M","Jevins","M2","ON.M2","25-10-15","",0,35,10,10,57,5.7,150.677777777778,12.2750876892093
107,"M","Jevins","M2","ON.M2","25-10-15","",7,21,7,7,79,11.2857142857143,36.3333333333333,6.02771377334171
228,"M","Jevins","M2","ON.M2","25-10-15","",0,1,1,1,8,8,NA,NA
