"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
112,"P","Ardoch","D8","ON.D8","2010-10-15","20",2,2,2,0,0,NA,NA,NA,NA,"N"
113,"P","Joes Lake","T13","ON.T13","2009-10-15","",7,14,0,4,1,0.25,1,NA,NA,"N"
114,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,2,0,0,0,NA,NA,NA,NA,"N"
115,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,55,45,4,43,10.75,0,NA,NA,"N"
116,"M","Ferguson","M11","ON.M11","2010-10-15","",4,30,4,3,13,4.33333333333333,13,NA,NA,"N"
117,"M","Round Lake","M5","ON.M5","2024-10-15","",0,20,15,6,26,4.33333333333333,26,5.86666666666667,2.42212028327799,"N"
118,"M","Jock River I","M8","ON.M8","2013-10-15","15",0,80,80,21,417,19.8571428571429,0,NA,NA,"Y"
119,"M","Constance Lake","M9","ON.M9","2013-10-15","",16,30,30,0,0,NA,NA,NA,NA,"Y"
120,"P","Bewdley A","D5","ON.D5","1930-10-15","5",0,87,85,5,76,15.2,0,NA,NA,"N"
121,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",0,53,53,4,67,16.75,0,NA,NA,"N"
122,"M","Constance Lake","M9","ON.M9","2013-10-15","",8,21,11,0,0,NA,NA,NA,NA,"Y"
123,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",10,180,180,5,120,24,0,NA,NA,"N"
124,"P","Loch Garry","T12","ON.T12","2023-10-15","10",4,60,60,3,17,5.66666666666667,17,40.5,6.36396103067893,"Y"
125,"M","Ferguson","M11","ON.M11","2010-10-15","",5,30,4,4,20,5,20,11.3333333333333,3.36650164612069,"N"
126,"P","Loch Garry","T12","ON.T12","2023-10-15","",7,50,50,5,41,8.2,0,NA,NA,"N"
127,"P","Bewdley A","D5","ON.D5","1930-10-15","",6,125,125,5,218,43.6,0,NA,NA,"N"
128,"M","Corry Lake","M16","ON.M16","2011-10-15","",3,30,30,8,69,8.625,0,NA,NA,"Y"
129,"M","Round Lake","M5","ON.M5","2024-10-15","",6,65,50,0,0,NA,NA,NA,NA,"Y"
130,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","",6,50,50,2,30,15,30,8,2.82842712474619,"N"
131,"M","Ferguson","M11","ON.M11","2010-10-15","",0,50,2,1,5,5,5,NA,NA,"N"
132,"P","Loch Garry","T12","ON.T12","2023-10-15","",0,95,95,0,0,NA,NA,NA,NA,"Y"
133,"P","Loch Garry","T12","ON.T12","2023-10-15","4",3,45,45,5,88,17.6,88,46.3,6.8044103344816,"N"
134,"M","Ferguson","M11","ON.M11","2010-10-15","11",7,45,45,5,231,46.2,231,155.7,12.4779806058513,"N"
135,"M","Corry Lake","M16","ON.M16","2011-10-15","",10,15,15,4,16,4,16,14.3333333333333,3.78593889720018,"N"
136,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",13,175,175,5,45,9,45,2.5,1.58113883008419,"Y"
137,"P","Joes Lake","T13","ON.T13","2009-10-15","45",0,12,7,7,50,7.14285714285714,50,8.47619047619048,2.911389784311,"N"
138,"M","Round Lake","M5","ON.M5","2024-10-15","",0,22,13,4,14,3.5,7,4.5,2.12132034355964,"Y"
139,"M","Kagawong","M15","ON.M15","2010-10-15","",6,12,8,5,48,9.6,48,22.3,4.72228758124704,"N"
140,"M","Constance Lake","M9","ON.M9","2013-10-15","",14,75,75,5,272,54.4,0,NA,NA,"N"
141,"M","Round Lake","M5","ON.M5","2024-10-15","",0,2,2,2,1,0.5,1,NA,NA,"N"
142,"M","Kagawong","M15","ON.M15","2010-10-15","",2,100,100,5,78,15.6,78,21.3,4.61519230368573,"N"
143,"P","Ardoch","D8","ON.D8","2010-10-15","12",12,100,90,0,0,NA,NA,NA,NA,"Y"
144,"M","Round Lake","M5","ON.M5","2024-10-15","",0,11,9,5,104,20.8,104,498,22.3159136044214,"N"
145,"M","Kagawong","M15","ON.M15","2010-10-15","",4,14,14,5,24,4.8,24,11.7,3.42052627529741,"N"
146,"M","Ferguson","M11","ON.M11","2010-10-15","30",3,75,35,0,0,NA,NA,NA,NA,"Y"
147,"P","Joes Lake","T13","ON.T13","2009-10-15","",12,11,0,0,0,NA,NA,NA,NA,"Y"
148,"M","Jock River I","M8","ON.M8","2013-10-15","40",0,150,150,16,224,14,49,64.3333333333333,8.02080627701064,"Y"
149,"M","Constance Lake","M9","ON.M9","2013-10-15","",10,80,80,3,5,1.66666666666667,5,NA,NA,"N"
150,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",8,500,500,5,154,30.8,154,109.7,10.4737767782209,"N"
151,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,30,27,5,45,9,0,NA,NA,"N"
152,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",3,45,45,5,81,16.2,0,NA,NA,"N"
153,"M","Round Lake","M5","ON.M5","2024-10-15","",5,105,105,4,17,4.25,0,NA,NA,"N"
154,"P","Joes Lake","T13","ON.T13","2009-10-15","",8,45,43,5,99,19.8,99,174.7,13.2174127574197,"N"
155,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",0,8,1,4,1,0.25,1,NA,NA,"N"
156,"P","Loch Garry","T12","ON.T12","2023-10-15","10",8,45,43,5,228,45.6,228,265.3,16.2880324164707,"N"
157,"M","Kagawong","M15","ON.M15","2010-10-15","",0,35,35,5,82,16.4,82,8.3,2.88097205817759,"N"
158,"M","Corry Lake","M16","ON.M16","2011-10-15","",2,20,20,5,28,5.6,28,3.3,1.81659021245849,"N"
159,"P","Bewdley A","D5","ON.D5","1930-10-15","",5,85,85,3,21,7,4,NA,NA,"N"
160,"P","Joes Lake","T13","ON.T13","2009-10-15","20",0,20,0,0,0,NA,NA,NA,NA,"N"
161,"M","Kagawong","M15","ON.M15","2010-10-15","",0,200,200,5,20,4,20,7,2.64575131106459,"N"
162,"M","Jevins","M2","ON.M2","2025-10-15","",0,5,0,1,1,1,1,NA,NA,"N"
163,"M","Jevins","M2","ON.M2","2025-10-15","",0,10,3,2,9,4.5,0,NA,NA,"N"
164,"M","Kagawong","M15","ON.M15","2010-10-15","",2,80,80,5,67,13.4,67,41.3,6.42650760522385,"N"
165,"M","Corry Lake","M16","ON.M16","2011-10-15","",0,5,3,2,14,7,14,8,2.82842712474619,"N"
166,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","41",0,5,4,4,2,0.5,2,NA,NA,"N"
167,"M","Kagawong","M15","ON.M15","2010-10-15","",4,75,75,5,87,17.4,87,24.8,4.97995983919549,"N"
168,"P","Bewdley A","D5","ON.D5","1930-10-15","12",9,38,38,5,122,24.4,3,NA,NA,"N"
169,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",2,7,0,0,0,NA,NA,NA,NA,"Y"
170,"M","Kagawong","M15","ON.M15","2010-10-15","",2,115,115,5,63,12.6,63,2.3,1.51657508881031,"N"
171,"M","Corry Lake","M16","ON.M16","2011-10-15","",2,8,5,4,4,1,0,NA,NA,"N"
172,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",0,26,25,5,24,4.8,24,0.2,0.447213595499958,"Y"
173,"P","Joes Lake","T13","ON.T13","2009-10-15","",20,11,10,5,188,37.6,188,250.3,15.8208722894789,"N"
174,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","",0,36,36,4,67,16.75,0,NA,NA,"N"
175,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",16,145,145,6,35,5.83333333333333,35,2.56666666666667,1.60208197875972,"N"
176,"P","Joes Lake","T13","ON.T13","2009-10-15","",13,10,10,5,223,44.6,81,480.5,21.920310216783,"N"
177,"M","Caledon","M4","ON.M4","2025-10-15","",0,4,4,0,0,NA,NA,NA,NA,"N"
178,"M","Jevins","M2","ON.M2","2025-10-15","",0,9,0,0,0,NA,NA,NA,NA,"N"
179,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,15,10,5,38,7.6,4,2,1.4142135623731,"N"
180,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","",8,110,110,5,316,63.2,189,79,8.88819441731559,"N"
181,"P","Otty Lake","D7","ON.D7","2026-10-15","",2,170,170,4,12,3,12,2,1.4142135623731,"N"
182,"M","Corry Lake","M16","ON.M16","2011-10-15","",3,55,55,5,21,4.2,0,NA,NA,"N"
183,"M","Round Lake","M5","ON.M5","2024-10-15","",0,23,15,5,18,3.6,18,12.3333333333333,3.51188458428425,"N"
184,"M","Horseshoe Lake","M1","ON.M1","2018-10-15","",0,30,30,7,67,9.57142857142857,67,4.95238095238095,2.22539456105675,"Y"
185,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","6",8,37,37,6,263,43.8333333333333,0,NA,NA,"N"
186,"P","Loch Garry","T12","ON.T12","2023-10-15","",0,45,40,6,120,20,82,394.333333333333,19.8578280114753,"N"
187,"M","Barrie","M13","ON.M13","2017-10-15","",0,60,55,6,128,21.3333333333333,0,NA,NA,"N"
188,"M","Ferguson","M11","ON.M11","2010-10-15","",4,80,20,5,29,5.8,29,8.2,2.86356421265527,"N"
189,"P","Bewdley A","D5","ON.D5","1930-10-15","",10,100,100,6,192,32,170,NA,NA,"N"
190,"M","Horseshoe Lake","M1","ON.M1","2018-10-15","",0,68,68,5,149,29.8,149,51.7,7.19027120489902,"Y"
191,"P","Ardoch","D8","ON.D8","2010-10-15","4",0,50,45,4,2,0.5,2,0,0,"N"
192,"P","Bewdley A","D5","ON.D5","1930-10-15","6",0,35,35,5,27,5.4,27,9.8,3.13049516849971,"N"
193,"M","Hindon bog","M6","ON.M6","2024-10-15","",10,42,0,0,0,NA,NA,NA,NA,"Y"
194,"P","Ardoch","D8","ON.D8","2010-10-15","",6,16,1,2,2,1,2,NA,NA,"Y"
195,"P","Rideau Bird Sanctuary","T17","ON.T16","2026-10-15","",0,55,55,6,228,38,144,129,11.3578166916005,"N"
196,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","50",0,100,0,2,2,1,2,NA,NA,"N"
197,"P","Joes Lake","T13","ON.T13","2009-10-15","",10,50,50,5,48,9.6,48,19.3,4.39317652729776,"Y"
198,"M","Caledon","M4","ON.M4","2025-10-15","",0,22,7,5,41,8.2,41,29.7,5.44977063737548,"N"
199,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",0,20,1,0,0,NA,NA,NA,NA,"N"
200,"M","Corry Lake","M16","ON.M16","2011-10-15","",4,55,55,13,103,7.92307692307692,0,NA,NA,"Y"
201,"M","Jevins","M2","ON.M2","2025-10-15","",0,35,10,10,57,5.7,57,182.125,13.4953695762658,"N"
202,"M","Constance Lake","M9","ON.M9","2013-10-15","",8,10,7,5,149,29.8,149,152.916666666667,12.3659478676997,"N"
203,"M","Mud Lake","M3","ON.M3","2016-10-15","",0,4,0,0,0,NA,NA,NA,NA,"N"
204,"M","Constance Lake","M9","ON.M9","2013-10-15","",9,20,20,7,210,30,24,50,7.07106781186548,"Y"
205,"P","Joes Lake","T13","ON.T13","2009-10-15","",5,8,8,5,38,7.6,38,26.3,5.12835256198323,"N"
206,"M","Mud Lake","M3","ON.M3","2016-10-15","8",0,6,2,2,3,1.5,0,NA,NA,"N"
207,"M","Constance Lake","M9","ON.M9","2013-10-15","",13,25,0,0,0,NA,NA,NA,NA,"N"
208,"P","Joes Lake","T13","ON.T13","2009-10-15","",0,3,2,2,29,14.5,29,60.5,7.77817459305202,"N"
209,"P","Loch Garry","T12","ON.T12","2023-10-15","7",0,12,11,6,33,5.5,33,10.7,3.27108544675922,"N"
210,"M","Ferguson","M11","ON.M11","2010-10-15","",8,60,12,5,21,4.2,21,5.7,2.38746727726266,"N"
211,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","3",0,58,58,3,104,34.6666666666667,0,NA,NA,"N"
212,"M","Corry Lake","M16","ON.M16","2011-10-15","",2,10,10,6,18,3,0,NA,NA,"Y"
213,"M","Round Lake","M5","ON.M5","2024-10-15","",0,3,3,3,5,1.66666666666667,5,0.333333333333333,0.577350269189626,"N"
214,"M","Jevins","M2","ON.M2","2025-10-15","",0,3,2,1,1,1,1,NA,NA,"Y"
215,"P","Cow Bay QUBS","T6","EO.T6","2027-10-15","",9,150,150,5,186,37.2,0,NA,NA,"N"
216,"P","Pumphouse Marsh","D9","ON.D9","2025-10-15","",0,105,105,5,91,18.2,42,0,0,"N"
217,"P","Bewdley A","D5","ON.D5","1930-10-15","12",10,165,165,6,211,35.1666666666667,54,200,14.142135623731,"N"
218,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","8",0,10,0,0,0,NA,NA,NA,NA,"Y"
219,"M","Hindon bog","M6","ON.M6","2024-10-15","",0,4,4,0,0,NA,NA,NA,NA,"N"
220,"P","Loch Garry","T12","ON.T12","2023-10-15","",11,125,125,6,90,15,26,NA,NA,"N"
221,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","16",0,11,1,5,2,0.4,2,NA,NA,"N"
222,"P","Joes Lake","T13","ON.T13","2009-10-15","20",0,6,1,1,11,11,11,NA,NA,"N"
223,"M","Round Lake","M5","ON.M5","2024-10-15","",0,20,15,5,41,8.2,7,0.5,0.707106781186548,"N"
224,"M","Kagawong","M15","ON.M15","2010-10-15","",2,25,25,5,40,8,40,15.5,3.93700393700591,"N"
225,"P","Bewdley A","D5","ON.D5","1930-10-15","",17,425,425,5,120,24,0,NA,NA,"N"
226,"M","Ferguson","M11","ON.M11","2010-10-15","",0,40,0,5,4,0.8,4,0,0,"N"
227,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","14",0,1,1,0,0,NA,NA,NA,NA,"N"
228,"M","Jevins","M2","ON.M2","2025-10-15","",0,1,1,1,8,8,8,NA,NA,"N"
229,"M","Round Lake","M5","ON.M5","2024-10-15","",NA,55,50,2,6,3,6,8,2.82842712474619,"N"
230,"P","Samuel de Champlain","D10","ON.D10","2011-10-15","",7,80,26,0,0,NA,NA,NA,NA,"Y"
231,"P","Ardoch","D8","ON.D8","2010-10-15","9",0,37,37,6,15,2.5,11,2.25,1.5,"Y"
232,"P","Joes Lake","T13","ON.T13","2009-10-15","",0,7,4,4,96,24,96,72.6666666666667,8.52447456836295,"Y"
233,"P","Joes Lake","T13","ON.T13","2009-10-15","",6,19,18,5,61,12.2,30,31,5.56776436283002,"N"
234,"M","Caledon","M4","ON.M4","2025-10-15","",0,5,0,0,0,NA,NA,NA,NA,"N"
235,"M","Lac LaPeche","M10","ON.M10","2012-10-15","",6,5,5,4,26,6.5,26,6.33333333333333,2.51661147842358,"Y"
236,"M","Ferguson","M11","ON.M11","2010-10-15","",4,135,120,5,248,49.6,248,158.3,12.5817327900413,"N"
