"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
171,NA,4,NA,NA,NA
172,5,24,4.8,0.2,0.447213595499958
173,5,188,37.6,250.3,15.8208722894789
174,NA,67,NA,NA,NA
175,6,534,89,41336.4,203.31355095025
176,NA,223,NA,480.5,21.920310216783
177,2,0,0,0,0
178,0,0,0,NA,NA
179,NA,38,NA,2,1.4142135623731
180,NA,316,NA,79,8.88819441731559
181,4,12,3,2,1.4142135623731
182,NA,21,NA,NA,NA
183,5,18,3.6,13.3,3.64691650576209
184,7,67,9.57142857142857,4.95238095238095,2.22539456105675
185,NA,263,NA,NA,NA
186,NA,120,NA,394.333333333333,19.8578280114753
187,NA,128,NA,NA,NA
188,5,29,5.8,8.2,2.86356421265527
189,NA,192,NA,NA,NA
190,5,149,29.8,51.7,7.19027120489902
191,NA,2,NA,0.333333333333333,0.577350269189626
192,5,27,5.4,9.8,3.13049516849971
193,7,0,0,0,0
194,4,2,0.5,1,1
195,NA,228,NA,129,11.3578166916005
196,5,2,0.4,0.8,0.894427190999916
197,5,48,9.6,19.3,4.39317652729776
198,5,41,8.2,29.7,5.44977063737548
199,5,0,0,0,0
200,NA,103,NA,NA,NA
201,10,57,5.7,150.677777777778,12.2750876892093
202,5,149,29.8,392.2,19.8040399918804
203,3,0,0,0,0
204,NA,210,NA,50,7.07106781186548
205,5,38,7.6,26.3,5.12835256198323
206,NA,3,NA,NA,NA
207,5,0,0,0,0
208,2,29,14.5,60.5,7.77817459305202
209,6,33,5.5,10.7,3.27108544675922
210,5,21,4.2,5.7,2.38746727726266
211,NA,104,NA,NA,NA
212,NA,18,NA,NA,NA
213,3,5,1.66666666666667,0.333333333333333,0.577350269189626
214,2,1,0.5,0.5,0.707106781186548
215,NA,186,NA,NA,NA
216,NA,91,NA,0,0
217,NA,211,NA,200,14.142135623731
218,0,0,0,NA,NA
219,4,0,0,0,0
220,NA,90,NA,NA,NA
221,5,2,0.4,0.8,0.894427190999916
222,1,11,11,NA,NA
223,NA,41,NA,0.5,0.707106781186548
224,5,40,8,15.5,3.93700393700591
225,NA,120,NA,NA,NA
226,5,4,0.8,1.2,1.09544511501033
227,5,0,0,0,0
228,1,8,8,NA,NA
229,3,6,2,7,2.64575131106459
230,5,0,0,0,0
231,NA,15,NA,2.25,1.5
232,4,96,24,72.6666666666667,8.52447456836295
233,NA,61,NA,31,5.56776436283002
234,0,0,0,NA,NA
235,4,26,6.5,6.33333333333333,2.51661147842358
236,5,248,49.6,158.3,12.5817327900413
237,5,6,1.2,1.7,1.30384048104053
238,1,3,3,NA,NA
239,5,12,2.4,7.3,2.70185121722126
240,NA,16,NA,NA,NA
241,NA,21,NA,NA,NA
242,NA,25,NA,NA,NA
243,0,0,0,NA,NA
244,NA,46,NA,0.5,0.707106781186548
245,6,114,19,204.8,14.3108350559987
246,5,217,43.4,622.8,24.9559612117025
247,NA,89,NA,NA,NA
249,NA,17,NA,NA,NA
250,NA,54,NA,NA,NA
252,NA,158,NA,NA,NA
253,5,30,6,14,3.74165738677394
255,NA,0,NA,NA,NA
256,NA,38,NA,NA,NA
258,NA,41,NA,NA,NA
259,5,3,0.6,1.8,1.34164078649987
260,2,0,0,0,0
261,5,52,10.4,37.8,6.14817045957576
262,NA,72,NA,0,0
263,7,43,6.14285714285714,6.80952380952381,2.60950643025148
264,4,7,1.75,4.25,2.06155281280883
265,5,0,0,0,0
266,NA,26,NA,NA,NA
267,5,82,16.4,113.3,10.6442472725881
268,3,24,8,4,2
269,NA,55,NA,NA,NA
270,NA,14,NA,NA,NA
271,6,58,9.66666666666667,11.0666666666667,3.32665998663324
272,NA,37,NA,NA,NA
273,5,1,0.2,0.2,0.447213595499958
274,6,88,14.6666666666667,13.0666666666667,3.61478445646026
275,NA,105,NA,NA,NA
276,4,0,0,0,0
277,3,8,2.66666666666667,21.3333333333333,4.61880215351701
278,5,20,4,1.5,1.22474487139159
279,5,2,0.4,0.3,0.547722557505166
280,5,92,18.4,34.8,5.89915248150105
281,5,67,13.4,8.3,2.88097205817759
282,5,0,0,0,0
284,5,0,0,0,0
285,NA,90,NA,60.5,7.77817459305202
287,5,23,4.6,3.3,1.81659021245849
288,7,21,3,1.66666666666667,1.29099444873581
289,5,70,14,16.5,4.06201920231798
290,NA,42,NA,NA,NA
291,5,0,0,0,0
292,4,111,27.75,150.25,12.2576506721313
293,NA,92,NA,0.333333333333333,0.577350269189626
294,5,68,13.6,10.3,3.20936130717624
295,NA,122,NA,NA,NA
296,5,58,11.6,11.3,3.36154726279432
297,5,33,6.6,7.3,2.70185121722126
298,6,0,0,0,0
299,5,15,3,16,4
300,5,44,8.8,27.7,5.26307894677631
301,5,14,2.8,4.7,2.16794833886788
302,5,42,8.4,8.8,2.96647939483827
303,5,0,0,0,0
304,3,4,1.33333333333333,0.333333333333333,0.577350269189626
305,5,7,1.4,9.8,3.13049516849971
306,NA,314,NA,NA,NA
307,NA,80,NA,NA,NA
308,NA,151,NA,NA,NA
309,5,218,43.6,117.8,10.8535708409721
310,5,24,4.8,7.7,2.77488738510232
311,5,59,11.8,21.7,4.65832587954085
312,4,0,0,0,0
313,NA,130,NA,NA,NA
314,5,198,39.6,70.8,8.41427358718505
315,5,0,0,0,0
316,5,30,6,56,7.48331477354788
317,5,26,5.2,7.7,2.77488738510232
318,NA,45,NA,NA,NA
319,5,93,18.6,372.8,19.3080294178355
320,5,86,17.2,126.2,11.2338773359869
321,5,159,31.8,46.2,6.79705818718657
322,5,0,0,0,0
323,5,12,2.4,0.3,0.547722557505166
324,6,0,0,0,0
325,NA,237,NA,NA,NA
326,NA,92,NA,9.33333333333333,3.05505046330389
327,NA,141,NA,4,2
328,NA,98,NA,NA,NA
329,3,14,4.66666666666667,4.33333333333333,2.08166599946613
330,NA,204,NA,NA,NA
331,NA,38,NA,NA,NA
332,NA,103,NA,NA,NA
333,5,20,4,4,2
334,NA,0,NA,NA,NA
335,5,64,12.8,33.7,5.80517010948
336,NA,167,NA,NA,NA
337,6,21,3.5,0.7,0.836660026534076
338,NA,76,NA,40.5,6.36396103067893
339,4,12,3,12.6666666666667,3.55902608401044
340,4,94,23.5,121.666666666667,11.0302614051829
341,5,29,5.8,4.7,2.16794833886788
342,NA,47,NA,3,1.73205080756888
343,NA,0,NA,NA,NA
344,5,101,20.2,22.2,4.7116875957559
345,0,0,0,NA,NA
346,NA,95,NA,NA,NA
347,5,76,15.2,17.2,4.14728827066554
348,NA,101,NA,NA,NA
349,3,11,3.66666666666667,4.33333333333333,2.08166599946613
350,6,77,12.8333333333333,56.5666666666667,7.52108148251744
351,2,3,1.5,0.5,0.707106781186548
352,NA,44,NA,4.5,2.12132034355964
353,5,2,0.4,0.3,0.547722557505166
354,6,48,8,16,4
355,8,13,1.625,3.125,1.76776695296637
356,NA,33,NA,NA,NA
357,NA,97,NA,NA,NA
358,NA,16,NA,1.33333333333333,1.15470053837925
359,NA,152,NA,NA,NA
360,NA,158,NA,NA,NA
