Envelope_ID,PopName,Pop_ID,PopCode,PopCode2,Date_collected,stems,Clump_size,Flower_number,Fruit_number,Secondary_branches,Notes,Seed number
250,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,155,150,8,parasite on plant,
554,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,6,20,18,3,,
665,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stema,5,420,420,19,,
665,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stemb,,20,20,4,stem looks broken,
422,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,5,0,0,,
374,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,3,1,0,,
345,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,4,0,0,,
234,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,5,0,0,,
177,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,4,4,0,,
198,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,22,7,0,check seeds in fruit,
87,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,5,0,0,,
674,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,15,4,0,,
641,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,6,0,0,,
54,Caledon,M4,ON.M4,ON.M4,25-10-15,1,,55,25,6,,
18,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,55,0,0,although I have an envelope it is empty. I don't know where those fruits disappeared,
581,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,20,20,20,0,,
130,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,50,50,6,,
174,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,36,36,0,,
195,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,55,55,0,,
180,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,110,110,8,,
78,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,6,2,1,0,this is the only flowering stem in the clump,
620,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,,50,50,3,,
551,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,15,25,25,0,,
525,Rideau Bird Sanctuary,T17,ON.T16,ON.T16,26-10-15,1,10,50,50,0,,
109,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,125,125,10,,
389,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,1,180,180,10,,
51,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,189,189,6,,
240,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,205,205,8,,
270,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,4,109,109,0,,
331,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,87,87,0,,
434,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,10,295,295,11,,
416,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,275,275,12,,
302,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,80,80,10,,
717,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,25,25,0,,
570,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,150,150,6,,
536,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,170,170,8,,
506,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,360,360,8,,
242,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,95,95,0,,
181,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,170,170,2,,
4,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,140,140,18,,
476,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,115,115,0,,
89,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,35,35,0,solo stem,
716,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,305,305,16,,
601,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,190,190,5,,
505,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,120,120,8,,
478,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,110,110,0,,
448,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,168,168,4,,
356,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,127,127,0,,
266,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,20,100,100,11,,
53,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,258,258,6,,
28,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,125,125,10,,
523,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,6,30,30,0,,
272,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,8,36,36,0,,
420,Otty Lake,D7,ON.D7,ON.D7,26-10-15,1,,85,85,5,,
390,Otty Lake,D7,ON.D7,ON.D7,26-10-15,stema,,85,85,0,collected this stem,
390,Otty Lake,D7,ON.D7,ON.D7,26-10-15,stemb,,80,80,0,,
419,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,stema,,39,39,0,,
419,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,stemb,,10,10,0,,
479,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,8,37,37,0,,
386,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,258,258,12,,
360,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,229,229,6,,
426,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,stema,,47,47,0,,
426,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,stemb,,37,37,0,,
747,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,68,68,0,,
82,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,82,82,10,,
10,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,135,135,12,,
35,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,105,105,1,,
185,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,6,37,37,8,these are 8 smallish branches with 0 flowers,
98,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,55,55,4,,
215,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,150,150,9,,
275,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,6,67,67,0,,
308,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,4,10,10,0,,
511,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,115,110,4,,
509,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,35,35,3,,
508,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,100,100,4,,
359,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,100,100,0,,
391,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,145,145,6,,
364,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,70,70,4,,
520,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,80,80,3,,
451,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,185,185,10,,
449,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,110,110,4,,
720,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,195,195,12,,
76,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,85,85,4,,
62,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,140,140,10,,
211,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,3,58,58,0,,
121,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,53,53,0,,
152,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,45,45,3,,
332,Cow Bay QUBS,T6,ON.T6,EO.T6,27-10-15,1,,50,50,0,,
500,Constance Lake,M9,ON.M9,ON.M9,13-10-15,1,,35,35,9,Only 1 branch had flowers,
713,Constance Lake,M9,ON.M9,ON.M9,13-10-15,1,,70,69,4,2 branches made flowers,
494,Constance Lake,M9,ON.M9,ON.M9,13-10-15,1,,35,35,6,,
