Page,Photo_num,Date,Person_ID,Photo,Envelope_ID,Fruit_ID,Seed_number,Fertilized_not_viable,NonViable_seeds,Notes,Notes2,Notes3
5,,24-11-2015,Maggie,N,173,4,42,N,Y,,,
5,,24-11-2015,Maggie,N,173,5,35,N,Y,,,
6,,25-11-2015,Vivienne,N,198,1,13,N,Y,,,
6,,25-11-2015,Vivienne,N,198,2,4,N,Y,13-Nov,,
6,,25-11-2015,Vivienne,N,198,3,1,N,Y,03-Apr,,
6,,25-11-2015,Vivienne,N,198,4,13,N,Y,23-Oct,,
6,,25-11-2015,Vivienne,N,198,5,10,N,Y,16-Jun,,
6,,25-11-2015,Sierra,N,690,1,7,N,Y,ALL SEEDS COUNTED BY HAND ONLY,,
6,,25-11-2015,Sierra,N,690,2,19,N,Y,,,
6,,25-11-2015,Sierra,N,690,3,6,N,Y,,,
6,,25-11-2015,Sierra,N,690,4,10,N,Y,,,
6,,25-11-2015,Sierra,N,690,5,4,N,Y,,,
6,,25-11-2015,Sierra,N,419,1,32,N,Y,4 fruits found,,
6,,25-11-2015,Sierra,N,419,2,29,N,Y,,,
6,,25-11-2015,Sierra,N,419,3,31,N,Y,,,
6,,25-11-2015,Sierra,N,419,4,15,N,Y,,,
6,,26-11-2015,Weihang,N,28,1-5,57,N,Y,,,
6,,26-11-2015,Weihang,N,357,1-6,97,N,Y,,,
6,,26-11-2015,Weihang,N,206,1-2,3,N,Y,,,
6,,26-11-2015,Weihang,N,216,1-3,49,N,Y,,,
6,,26-11-2015,Weihang,N,216,4,21,N,Y,,,
6,,26-11-2015,Weihang,N,216,5,21,N,Y,,,
6,,26-11-2015,Weihang,N,524,1-2,72,N,Y,,,
6,,26-11-2015,Weihang,N,524,3,19,N,Y,,,
6,,26-11-2015,Weihang,N,524,4,42,N,Y,,,
6,,26-11-2015,Weihang,N,524,5,19,N,Y,,,
6,,26-11-2015,Weihang,N,720,1-5,100,N,Y,,,
6,,26-11-2015,Weihang,N,180,1-2,127,N,N,ALL SEED MEDIUM SIZE,,
6,,26-11-2015,Weihang,N,180,3,53,N,N,,,
6,,26-11-2015,Weihang,N,180,4,66,N,N,,,
6,,26-11-2015,Weihang,N,180,5,70,N,N,,,
6,,26-11-2015,Weihang,N,688,1,12,N,Y,,,
6,,26-11-2015,Weihang,N,688,2,21,N,Y,,,
6,,26-11-2015,Weihang,N,688,3,3,N,Y,,,
6,,26-11-2015,Weihang,N,688,4,7,N,Y,,,
6,,26-11-2015,Weihang,N,688,5,1,N,Y,,,
6,,26-11-2015,Weihang,N,508,1-5,88,N,Y,,,
6,,26-11-2015,Weihang,N,56,1-5,37,N,Y,,,
7,,27-11-2015,Vivienne ,N,554,1,6,N,Y,"TOTAL 34 SEEDS, 6 FRUITS FOUND, 5 FRUITS USED",,
7,,27-11-2015,Vivienne,N,554,2,11,N,Y,,,
7,,27-11-2015,Vivienne,N,554,3,7,N,Y,,,
7,,27-11-2015,Vivienne,N,554,4,6,N,Y,,,
7,,27-11-2015,Vivienne,N,554,5,4,N,Y,,,
7,,01-12-2015,Sierra,N,53,1,4,N,Y,ADD SEEDS TOGETHER,,
7,,01-12-2015,Sierra,N,53,2,1,N,Y,,,
7,,01-12-2015,Sierra,N,53,3,1,N,Y,,,
7,,01-12-2015,Sierra,N,53,4,0,N,Y,,,
7,,01-12-2015,Sierra,N,53,5,3,N,Y,,,
7,,02-12-2015,Vivienne,Y,452,1,22,N,Y,1 SEED WAS FOUND PRIOR TO SEED COUNT,,checked oct 2017
7,,02-12-2015,Vivienne,Y,452,2,43,N,Y,,,checked oct 2017
7,,02-12-2015,Vivienne,Y,452,3,53,N,Y,,,checked oct 2017
7,,02-12-2015,Vivienne,Y,452,4,36,N,Y,TOTAL 199 SEEDS,,checked oct 2017
7,,02-12-2015,Vivienne,Y,452,5,44,N,Y,,,checked oct 2017
7,,02-12-2015,Vivienne,Y,174,1-4,67,N,Y,"ONLY FRUITS FOUND, ALL HAVE ALREADY SEEDED ",,checked oct 2017
8,,03-12-2015,Sierra,N,87,1,0,Y,Y,1 LATE ABORTED,,
8,,03-12-2015,Sierra,Y,409,1,16,N,Y,*6 FRUIT,,checked oct 2017
8,P1,03-12-2015,Sierra,Y,409,2,15,N,Y,,,checked oct 2017
8,,03-12-2015,Sierra,Y,409,3,15,N,Y,,,checked oct 2017
8,,03-12-2015,Sierra,Y,409,4,10,N,Y,,,checked oct 2017
8,,03-12-2015,Sierra,Y,409,5,8,N,,,,checked oct 2017
8,,03-12-2015,Sierra,Y,9, 1-4,108,N,Y,*4 FRUITS SPLIT OPEN IN BAG,,checked oct 2017
8,,03-12-2015,Sierra,Y,9,5,12,N,Y,,,checked oct 2017
8,,04-12-2015,Vivienne,N,156,1,58,N,Y,*6 SEEDS WERE FOUND IN ENVELPOE BEFORE SEED COUNT,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,156,2,53,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,156,3,44,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,156,4,55,N,Y,*LOST 2 SEEDS IN COUNTING PROCESS,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,156,5,18,N,Y,TOTAL 234,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,144,1,49,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,144,2,0,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,144,3,40,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,144,4,1,N,Y,,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,04-12-2015,Vivienne,N,144,5,14,N,Y,TOATL 104,REMOVED PHOTOS BECAUSE WE HAD HAND COUNTS ,
8,,08-12-2015,Sierra,Y,202,1,38,N,Y,7 FRUUIT TOTAL IN THIS BAG - possibly all aborted,,checked oct 2017
8,,08-12-2015,Sierra,Y,202,2,54,N,Y ,NOT MANY,,checked oct 2017
8,,08-12-2015,Sierra,N,202,3,0,N,Y,,,
8,,08-12-2015,Sierra,Y,202,4,25,N,Y,,,checked oct 2017
8,,08-12-2015,Sierra,Y,202,5,32,N,Y,,,checked oct 2017
8,,09-12-2015,Vivienne,Y,525,1,10,N,Y,7 SEEDS WERE FOUND PRIOR TO COUNTING,,checked oct 2017
8,,09-12-2015,Vivienne,Y,525,2,12,N,Y,,,checked oct 2017
8,,09-12-2015,Vivienne,Y,525,3,7,N,Y,ONLY 4 FRUITS WERE FOUND IN ENVELOPE,,checked oct 2017
8,,09-12-2015,Vivienne,Y,525,4,2,N,Y,TOTAL 38 SEEDS,,checked oct 2017
8,,09-12-2015,Vivienne,N,514,1,0,N,Y,ONLY 1 FLOWER FOUND IN ENVELOPE ,,
8,,09-12-2015,Vivienne,Y,273,1,1,N,Y,,,checked oct 2017
8,,09-12-2015,Vivienne,N,273,2,0,N,Y,,,
8,,09-12-2015,Vivienne,N,273,3,0,N,Y,,,
8,,09-12-2015,Vivienne,N,273,4,0,N,Y,,,
8,,09-12-2015,Vivienne,N,273,5,0,N,Y,,,
9,,09-12-2015,Vivienne,Y,246,1,50,N,Y,"8 FLOWERS FOUND, 5 USED",,checked oct 2017
9,,09-12-2015,Vivienne,N,246,2,0,N,Y,,,
9,,09-12-2015,Vivienne,Y,246,3,47,N,Y,9 SEEDS FOUND PRIOR TO COUNTING,,checked oct 2017
9,,09-12-2015,Vivienne,Y,246,4,60,N,Y,,,checked oct 2017
9,,09-12-2015,Vivienne,Y,246,5,60,N,N,TOTAL 226,,checked oct 2017
9,,10-12-2015,Sierra,Y,150,1,43,N,Y,,,
9,,10-12-2015,Sierra,Y,150,2,40,N,Y ,,,
9,,10-12-2015,Sierra,Y,150,3,28,N,Y,,,
9,,10-12-2015,Sierra,Y,150,4,25,N,Y,,,
9,,10-12-2015,Sierra,Y,150,5,18,N,Y,,,
9,,10-12-2015,Sierra,N,414,1,0,N,Y,ONLY 2 FRUIT,,
9,,10-12-2015,Sierra,N,414,2,0,N,Y,,,
10,,05-01-2016,Weihang,N,391,1-5,276,N,Y ,,"MPB hand counted, changed fruit id to 2-5 from 1-4",
10,,05-01-2016,Weihang,N,269,1,2,Y,Y,MID STAGE ABORTED,"this is kept in separate envelope. Stored in location for Jan 5, but MPB checked count on June 1 2016",
10,,05-01-2016,Weihang,N,269,2-5,53,Y,N,MID STAGE ABORTED,"MPB hand counted, changed fruit id to 2-5 from 1-4.Stored in location for Jan 5, but MPB checked count on June 1 2016",
10,,06-01-2016,Sierra,Y,153,1-4,17,N,Y,"1 SEED NOT IN PHOTO, ADD 1 TO COUNT, ALL TOGETHER",,updated oct 16
10,,06-01-2016,Sierra,Y,153,5,0,Y,Late aborted,,,updated oct 16
10,,06-01-2016,Sierra,Y,123,1-5 ,120,N,Y,ALL TOGETHER,,updated oct 16
10,,06-01-2016,Sierra,Y,96,1-4,108,N,Y,ALL TOGETHER,,updated oct 16
10,,06-01-2016,Sierra,Y,96,5,20,N,Y,,,updated oct 16
10,,12-01-2016,Rebecca,Y,488,1-5 ,110,N,Y,,,updated oct 2017
10,,12-01-2016,Rebecca,Y,266,1-5 ,26,N,Y,,,updated oct 2017
10,,12-01-2016,Rebecca,Y,464,1-5 ,78,N,Y,,,updated oct 2017
10,P1,12-01-2016,Rebecca,Y,72,1-5,153,N,Y,2PHOTOS,two photos of same image deleted second image,updated oct 2017
10,,12-01-2016,Rebecca,Y,13,1-7,71,N,Y,Possibly aborted,,updated oct 2017
11,,13-01-2016,Sierra,Y,103,1-4,16,N,Y,6 FRUIT + SEEDS BLACKISH IN COLOUR,,updated count oct 2017
11,,13-01-2016,Sierra,Y,103,5,4,N,Y,,,updated count oct 2017
11,,13-01-2016,Sierra,Y,717,1-2,16,N,Y,,,updated count oct 2017
11,,13-01-2016,Sierra,Y,717,3,2,N,Y,ADD 1 TO COOUNT (DROPPED),,updated count oct 2017
11,,13-01-2016,Sierra,Y,717,4,4,N,Y,,,updated count oct 2017
11,,13-01-2016,Sierra,Y,717,5,5,N,Y,,,updated count oct 2017
11,,13-01-2016,Rebecca,Y,346,1-7,95,N,Y,2 FRUIT ARE VERY SMALL,,updated count oct 2017
11,,13-01-2016,Rebecca,Y,179,1-3,34,N,Y ,,,updated count oct 2017
11,,13-01-2016,Rebecca,N,179,4,3,N,Y,ONLY 3 SEEDS IN TOTAL,,
11,,13-01-2016,Rebecca,N,179,5,1,N,Y,HAS ONLY 1 SEED,,
11,,13-01-2016,Rebecca,Y,548,1-6,60,N,Y,,,updated count oct 2017
11,,13-01-2016,Rebecca,N,548,7,2,N,N,ONLY 2 SEEDS TOTAL,,
11,,19-01-2016,Rebecca,Y,127,1-5,218,N,Y,LOTS OF SEEDS,,updated oct 2017
11,,20-01-2016,Rebecca,N,31,1,18,N,Y,18 SEEDS,,
11,,20-01-2016,Rebecca,N,31,2,15,N,Y,15 SEEDS,,
11,,20-01-2016,Rebecca,N,31,3,15,N,Y,15 SEEDS,,
11,,20-01-2016,Rebecca,N,31,4,2,N,Y,2 SEEDS,,
11,,20-01-2016,Rebecca,N,31,5,0,N,Y,NO SEEDS,,
11,,20-01-2016,Rebecca,Y,581,1-2,24,N,Y,VERY LARGE SEEDS,,
